instance,pb,n,p,coef,rangemin,rangemax,nodesel,varsel,OB,solved,YN,nbnodes,mindepthT,maxdepthT,avgdepthT,avgdepthYN,nbleaf,nbinfeas,pctinfeas,tpsinfeas,nbopt,pctopt,tpsopt,nbdomi,pctdomi,avgdomi,nbLB,avgfacets,avgNDf,pctavgNDf, avgWNDf,pctWNDf,maxfacets,maxNDf,pctmaxNDf, maxWNDf,pctmaxWNDf,tpstotal,tpsLB,pcttpsLB,tpsdomi,pcttpsdomi,tpsUB,pcttpsUB,tpsnodesel,pcttpsnodesel,tpsvarsel,pcttpsvarsel,tpsOB,pcttpsOB,tpsSLUB,pcttpsSLUB,tpsdomiLUB,pcttpsdomiLUB,nbOB,pctnbOB,avgdepthOB,mindepthOB,maxdepthOB,avgnbpbOB,maxnbpbOB,ratioNDcoef
Forget20-KP_35_3_1-10_random_8_8,KP,35,3,random,1,10,breadth,mfavg,None,1,101,11279,7,36,19.14,16.87,5640,12,0.21,0.42,199,3.53,0.6,5429,96.26,3.05,11267,18.81,4.07,21.62,14.75,78.4,132,83,62.88,49,37.12,35.6,33.59,94.35,1.37,3.85,0.05,0.14,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2147483647,0,0.0,0,0.17143
Forget20-KP_35_3_1-10_random_9_9,KP,35,3,random,1,10,depth,mof,None,1,177,46727,7,36,22.99,16.07,23364,471,2.02,0.64,2749,11.77,0.9,20144,86.22,5.82,46256,29.89,11.1,37.14,18.79,62.87,241,181,75.1,60,24.9,264.04,253.06,95.84,7.89,2.99,0.5,0.19,0.01,0.0,0.21,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2147483647,0,0.0,0,0.2
Forget20-KP_35_3_1-10_random_9_9,KP,35,3,random,1,10,breadth,mof,None,1,177,21271,8,36,20.64,15.76,10636,58,0.55,1.53,979,9.2,1.76,9599,90.25,8.2,21213,39.07,16.38,41.92,22.69,58.07,241,181,75.1,60,24.9,167.32,157.82,94.32,7.15,4.27,0.43,0.26,0.0,0.0,0.12,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2147483647,0,0.0,0,0.2
Forget20-KP_35_3_1-10_random_9_9,KP,35,3,random,1,10,depth,mfavg,None,1,177,68643,7,36,22.15,16.44,34322,910,2.65,0.82,555,1.62,1.14,32857,95.73,5.04,67733,24.08,4.54,18.85,19.54,81.15,241,181,75.1,60,24.9,356.78,338.21,94.79,11.39,3.19,0.55,0.15,0.01,0.0,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2147483647,0,0.0,0,0.2
Forget20-KP_35_3_1-10_random_9_9,KP,35,3,random,1,10,breadth,mfavg,None,1,177,27229,8,36,20.41,16.31,13615,179,1.31,1.51,178,1.31,2.07,13258,97.38,7.34,27050,30.26,7.3,24.13,22.96,75.87,241,181,75.1,60,24.9,199.6,185.85,93.11,10.02,5.02,0.34,0.17,0.01,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2147483647,0,0.0,0,0.2
Forget20-KP_40_3_1000-2000_2box_1_1,KP,40,3,2box,1000,2000,depth,mof,None,1,176,268033,7,41,28.22,19.32,134017,2158,1.61,2.03,16550,12.35,1.73,115309,86.04,3.72,265875,9.63,0.58,6.05,9.04,93.9,108,54,50.0,54,50.0,913.5,823.12,90.11,72.63,7.95,1.4,0.15,0.04,0.0,0.54,0.06,0.01,0.0,0.0,0.0,0.01,0.0,0,0.0,0.0,2147483647,0,0.0,0,0.325
Forget20-KP_40_3_1000-2000_2box_1_1,KP,40,3,2box,1000,2000,breadth,mof,None,1,176,67647,8,41,22.74,19.32,33824,81,0.24,0.56,6721,19.87,0.88,27022,79.89,3.12,67566,12.97,0.81,6.22,12.17,93.82,108,54,50.0,54,50.0,182.66,157.02,85.96,19.61,10.74,0.54,0.3,0.01,0.01,0.21,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2147483647,0,0.0,0,0.325
Forget20-KP_40_3_1000-2000_2box_1_1,KP,40,3,2box,1000,2000,depth,mfavg,None,1,176,300507,8,41,26.58,18.28,150254,3159,2.1,1.23,16061,10.69,1.41,131034,87.21,3.37,297348,10.4,1.51,14.49,8.89,85.47,108,57,52.78,51,47.22,918.27,831.81,90.58,61.0,6.64,1.17,0.13,0.05,0.0,0.17,0.02,0.01,0.0,0.0,0.0,0.01,0.0,0,0.0,0.0,2147483647,0,0.0,0,0.325
Forget20-KP_40_3_1000-2000_2box_1_1,KP,40,3,2box,1000,2000,breadth,mfavg,None,1,176,96913,7,40,22.1,18.28,48457,164,0.34,0.92,2764,5.7,1.16,45529,93.96,4.2,96749,15.11,2.62,17.32,12.49,82.67,108,57,52.78,51,47.22,380.67,332.9,87.45,38.16,10.02,0.59,0.15,0.02,0.01,0.08,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2147483647,0,0.0,0,0.325
Forget20-KP_40_3_1000-2000_2box_10_10,KP,40,3,2box,1000,2000,depth,mof,None,1,288,208295,9,41,24.67,21.35,104148,846,0.81,1.55,14110,13.55,1.24,89192,85.64,3.57,207449,10.35,1.3,12.6,9.05,87.41,62,24,38.71,38,61.29,607.03,525.06,86.5,64.34,10.6,1.2,0.2,0.03,0.01,0.4,0.07,0.01,0.0,0.0,0.0,0.01,0.0,0,0.0,0.0,2147483647,0,0.0,0,0.4
Forget20-KP_40_3_1000-2000_2box_10_10,KP,40,3,2box,1000,2000,breadth,mof,None,1,288,182781,9,41,24.33,21.35,91391,622,0.68,0.68,11454,12.53,1.13,79315,86.79,3.9,182159,10.56,1.37,12.98,9.19,87.02,62,24,38.71,38,61.29,583.99,469.35,80.37,91.87,15.73,1.36,0.23,0.04,0.01,0.42,0.07,0.01,0.0,0.0,0.0,0.01,0.0,0,0.0,0.0,2147483647,0,0.0,0,0.4
Forget20-KP_40_3_1000-2000_2box_10_10,KP,40,3,2box,1000,2000,depth,mfavg,None,1,288,284629,10,41,25.1,19.66,142315,2661,1.87,1.3,19914,13.99,1.11,119740,84.14,3.05,281968,9.99,1.54,15.42,8.45,84.58,61,27,44.26,34,55.74,742.93,654.14,88.05,69.67,9.38,1.09,0.15,0.04,0.01,0.15,0.02,0.01,0.0,0.0,0.0,0.01,0.0,0,0.0,0.0,2147483647,0,0.0,0,0.4
Forget20-KP_40_3_1000-2000_2box_10_10,KP,40,3,2box,1000,2000,breadth,mfavg,None,1,288,266459,10,41,24.86,19.66,133230,2350,1.76,0.63,18206,13.67,0.95,112674,84.57,3.44,264109,10.12,1.58,15.6,8.54,84.37,61,27,44.26,34,55.74,771.56,613.83,79.56,124.2,16.1,1.37,0.18,0.05,0.01,0.39,0.05,0.01,0.0,0.0,0.0,0.01,0.0,0,0.0,0.0,2147483647,0,0.0,0,0.4
Forget20-KP_40_3_1000-2000_2box_2_2,KP,40,3,2box,1000,2000,depth,mof,None,1,123,38227,7,41,22.61,18.54,19114,67,0.35,1.76,2439,12.76,1.12,16608,86.89,2.78,38160,10.73,0.99,9.2,9.74,90.78,60,18,30.0,42,70.0,93.47,88.5,94.69,3.66,3.92,0.14,0.15,0.01,0.01,0.07,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2147483647,0,0.0,0,0.275
Forget20-KP_40_3_1000-2000_2box_2_2,KP,40,3,2box,1000,2000,breadth,mof,None,1,123,25287,7,39,20.53,18.54,12644,26,0.21,0.48,1820,14.39,0.62,10798,85.4,2.16,25261,11.75,1.14,9.7,10.61,90.27,60,18,30.0,42,70.0,47.38,40.35,85.16,5.31,11.21,0.15,0.32,0.0,0.01,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2147483647,0,0.0,0,0.275
