instance,YN,solved,cpu,nbit,nbinfeas,nbduplicates,totalLP
Forget20-KP_25_3_1-1000_spheredown_3_5,621,1,21.96656584739685,1228,0,606,0
Forget20-KP_25_3_1-1000_spheredown_3_6,542,1,17.75603222846985,1085,0,543,0
Forget20-KP_25_3_1-1000_spheredown_3_7,306,1,5.742568016052246,612,0,306,0
Forget20-KP_25_3_1-1000_spheredown_3_8,618,1,12.229079961776733,1207,0,585,0
Forget20-KP_25_3_1-1000_spheredown_3_9,696,1,17.042354106903076,1380,0,681,0
Forget20-KP_30_3_1-1000_spheredown_1_1,1071,1,52.01348900794983,2118,0,1044,0
Forget20-KP_30_3_1-1000_spheredown_1_10,1440,1,71.67014598846436,2852,0,1410,0
Forget20-KP_30_3_1-1000_spheredown_1_2,863,1,45.65593600273132,1707,0,841,0
Forget20-KP_30_3_1-1000_spheredown_1_3,1200,1,77.18878698348999,2386,0,1184,0
Forget20-KP_30_3_1-1000_spheredown_1_4,1201,1,67.30639505386353,2389,0,1184,0
Forget20-KP_30_3_1-1000_spheredown_1_5,1064,1,69.74358201026917,2099,0,1034,0
Forget20-KP_30_3_1-1000_spheredown_1_6,1136,1,69.73092079162598,2248,0,1112,0
Forget20-KP_30_3_1-1000_spheredown_1_7,992,1,53.29410696029663,1974,0,982,0
Forget20-KP_30_3_1-1000_spheredown_1_8,1610,1,137.2174060344696,3189,0,1578,0
Forget20-KP_30_3_1-1000_spheredown_1_9,1139,1,74.9106969833374,2262,0,1119,0
Forget20-KP_30_3_1-1000_spheredown_2_1,1148,1,66.20238208770752,2255,0,1102,0
Forget20-KP_30_3_1-1000_spheredown_2_10,1527,1,131.86475205421448,3033,0,1502,0
Forget20-KP_30_3_1-1000_spheredown_2_2,1389,1,312.68549704551697,2765,0,1373,0
Forget20-KP_30_3_1-1000_spheredown_2_3,1220,1,75.45403814315796,2423,0,1195,0
Forget20-KP_30_3_1-1000_spheredown_2_4,1168,1,101.18847703933716,2304,0,1129,0
